Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
fThuMac1	fThuMac1	Thunnus maccoyii	southern bluefin tuna	8224	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Scombriformes
fTraTra1	fTraTra1	Trachurus trachurus	Atlantic horse mackerel	8157	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Carangiformes
fZeuFab8	fZeuFab8	Zeus faber	John dory	31103	Eukaryota	Metazoa	Chordata	Craniata	Actinopteri	Actinopterygii	Teleostei	Zeiformes
gfAgaBisp1	gfAgaBisp1	Agaricus bisporus	cultivated mushroom	5339	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	.	.	Agaricales
gfClaFumo1	gfClaFumo1	Clavaria fumosa	smoky spindles	40105	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	.	.	Agaricales
gfFlaVelt1	gfFlaVelt1	Flammulina velutipes	velvet shank	862241	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	.	.	Agaricales
gfLaeSulp1	gfLaeSulp1	Laetiporus sulphureus	chicken of the woods	2028212	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	.	.	Polyporales
gfPleOstr1	gfPleOstr1	Pleurotus ostreatus	oyster mushroom	104366	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	.	.	Agaricales
gfPorCaly1	gfPorCaly1	Porpolomopsis calyptriformis	.	51005	Eukaryota	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	.	.	Agaricales
glLicPygm2	glLicPygm2	Lichina pygmaea	black lichen	157478	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Lichinomycetes	.	.	Lichinales
grCorFumo1	grCorFumo1	Cordyceps fumosorosea	.	474943	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	.	.	Hypocreales
grSimLame1	grSimLame1	Simplicillium lamellicola	.	474943	Eukaryota	Fungi	Ascomycota	Pezizomycotina	Sordariomycetes	.	.	Hypocreales
