Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
qqMetBour1	qqMetBour1	Meta bourneti	.	27394	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	.	.	Araneae
qqOdiSpin1	qqOdiSpin1	Odiellus spinosus	.	101160	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	.	.	Opiliones
qqParLuna2	qqParLuna2	Parasteatoda lunata	.	34643	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	.	.	Araneae
qqTetMont2	qqTetMont2	Tetragnatha montana	silver stretch spider	27394	Eukaryota	Metazoa	Arthropoda	Chelicerata	Arachnida	.	.	Araneae
qxSacCarc1	qxSacCarc1	Sacculina carcini	crab hacker barnacle	38011	Eukaryota	Metazoa	Arthropoda	Crustacea	Thecostraca	Multicrustacea	Rhizocephala	.
rZooViv1	rZooViv1	Zootoca vivipara	common lizard	8522	Eukaryota	Metazoa	Chordata	Craniata	Lepidosauria	Sarcopterygii	.	Squamata
sRajBra1	sRajBra1	Raja brachyura	blonde ray	30475	Eukaryota	Metazoa	Chordata	Craniata	Chondrichthyes	.	.	Batoidea
tnLinLong1	tnLinLong1	Lineus longissimus	bootlace worm	6222	Eukaryota	Metazoa	Nemertea	.	Pilidiophora	.	.	Heteronemertea
tzBugNeri2	tzBugNeri2	Bugula neritina	ruby bryozoan	10210	Eukaryota	Metazoa	Bryozoa	.	Gymnolaemata	.	.	Cheilostomatida
tzBugStol2	tzBugStol2	Bugulina stolonifera	an erect bryozoan	10210	Eukaryota	Metazoa	Bryozoa	.	Gymnolaemata	.	.	Cheilostomatida
tzCryPall5	tzCryPall5	Cryptosula pallasiana	an encrusting bryozoan	558762	Eukaryota	Metazoa	Bryozoa	.	Gymnolaemata	.	.	Cheilostomatida
tzMemMemb1	tzMemMemb1	Membranipora membranacea	sea mat	192924	Eukaryota	Metazoa	Bryozoa	.	Gymnolaemata	.	.	Cheilostomatida
tzWatSuba1	tzWatSuba1	Watersipora subatra	red ripple bryozoan	193245	Eukaryota	Metazoa	Bryozoa	.	Gymnolaemata	.	.	Cheilostomatida
ucDunPrim2	ucDunPrim2	Dunaliella primolecta	.	3043	Eukaryota	Viridiplantae	Chlorophyta	.	Chlorophyceae	.	.	Chlamydomonadales
ucMarCocc1	ucMarCocc1	Marvania coccoides	.	35461	Eukaryota	Viridiplantae	Chlorophyta	.	Trebouxiophyceae	.	.	Chlorellales
ucPycProv1	ucPycProv1	Pycnococcus provasolii	.	41878	Eukaryota	Viridiplantae	Chlorophyta	.	.	.	.	.
wcApoIcte1	wcApoIcte1	Aporrectodea icterica	.	6392	Eukaryota	Metazoa	Annelida	.	Clitellata	.	.	Crassiclitellata
wcLumRube1	wcLumRube1	Lumbricus rubellus	red compost earthworm	6392	Eukaryota	Metazoa	Annelida	.	Clitellata	.	.	Crassiclitellata
wcLumTerr1	wcLumTerr1	Lumbricus terrestris	common earthworm	6392	Eukaryota	Metazoa	Annelida	.	Clitellata	.	.	Crassiclitellata
wdMagJohn1	wdMagJohn1	Magelona johnstoni	.	46596	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	Canalipalpata	Spionida
wkErpOcto2	wkErpOcto2	Erpobdella octoculata	leech	57110	Eukaryota	Metazoa	Annelida	.	Clitellata	.	.	Hirudinida
wpAchSqua1	wpAchSqua1	Acholoe squamosa	star devouring scaleworm	46593	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	.	Phyllodocida
wpAleGela1	wpAleGela1	Alentia gelatinosa	(a scale worm)	46593	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	.	Phyllodocida
wpAliVire1	wpAliVire1	Alitta virens	.	39820	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	.	Phyllodocida
wpHarImpa5	wpHarImpa5	Harmothoe impar	(a scale worm)	46593	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	.	Phyllodocida
wpSthLimi1	wpSthLimi1	Sthenelais limicola	(a segmented worm)	104728	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	.	Phyllodocida
wrPisGeom1	wrPisGeom1	Piscicola geometra	.	60930	Eukaryota	Metazoa	Annelida	.	Clitellata	.	.	Hirudinida
wtTerLapi1	wtTerLapi1	Terebella lapidaria	(a segmented worm)	32261	Eukaryota	Metazoa	Annelida	.	Polychaeta	.	Canalipalpata	Terebellida
xbArcSenh1	xbArcSenh1	Arcuatula senhousia	Asian date mussel	6547	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	.	Mytilida
xbAzoCham1	xbAzoCham1	Azorinus chamasolen	.	282291	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	Euheterodonta	Imparidentia
xbCerEdul1	xbCerEdul1	Cerastoderma edule	edible cockle	55708	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	Euheterodonta	Imparidentia
xbGarTell2	xbGarTell2	Gari tellinella	(a clam)	61354	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	Euheterodonta	Imparidentia
xbLutLutr1	xbLutLutr1	Lutraria lutraria	common otter shell	6581	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	Euheterodonta	Imparidentia
xbMagGiga1	xbMagGiga1	Magallana gigas	Pacific oyster	6563	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	.	Ostreida
xbMimVari1	xbMimVari1	Mimachlamys varia	.	6566	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	.	Pectinida
xbMytEdul2	xbMytEdul2	Mytilus edulis	blue mussel	6547	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	.	Mytilida
xbOstEdul1	xbOstEdul1	Ostrea edulis	native oyster	6563	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	.	Ostreida
xbSpiSubt1	xbSpiSubt1	Spisula subtruncata	cut surfclam	6581	Eukaryota	Metazoa	Mollusca	.	Bivalvia	.	Euheterodonta	Imparidentia
xgAniVort1	xgAniVort1	Anisus vortex	whirlpool ramshorn	6524	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	.
xgGibMagu1	xgGibMagu1	Gibbula magus	turban top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgOncCelt3	xgOncCelt3	Onchidella celtica	Celtic sea slug	42451	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Eupulmonata
xgPatDepr1	xgPatDepr1	Patella depressa	black footed limpet	6462	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	.
xgPatPell1	xgPatPell1	Patella pellucida	blue rayed limpet	6462	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	.
xgPatUlys2	xgPatUlys2	Patella ulyssiponensis	China limpet	6462	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	.
xgPatVulg1	xgPatVulg1	Patella vulgata	common limpet	6462	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	.
xgPhoLine1	PHORD0020b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0021b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0022b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0023b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0024b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0030b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0031b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0033b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0034b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0038b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0051b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0053b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0054b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0058b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	PHORD0060b	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	xgPhoLine1	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgPhoLine1	xgPhoLine2	Phorcus lineatus	thick top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xgSteCine2	xgSteCine2	Steromphala cineraria	grey top shell	6466	Eukaryota	Metazoa	Mollusca	.	Gastropoda	.	.	Trochida
xpLepCine2	xpLepCine2	Lepidochitona cinerea	grey chiton	413412	Eukaryota	Metazoa	Mollusca	.	Polyplacophora	.	.	Chitonida
